;Date;Type;Country;Injury
3573;22-Jun-1966;Provoked;USA;3 lacerations on  right leg by speared fish PROVOKED INCIDENT
3574;11-Jun-1966;Provoked;USA;Hand & forearm bitten by hooked shark PROVOKED INCIDENT
3575;04-Jun-1966;Unprovoked;USA;Punctures on  thigh & buttock
3576;02-Jun-1966;Provoked;FRENCH POLYNESIA;Arm lacerated by netted shark PROVOKED INCIDENT
3577;20-May-1966;Sea Disaster;AUSTRALIA;FATAL
3578;20-May-1966;Unprovoked;AUSTRALIA;Foot bitten
3579;20-May-1966;Sea Disaster;AUSTRALIA;FATAL, other human remains bitten by sharks, 13 people missing
3580;16-May-1966;Invalid;USA;White shark, 3.7 m [12']  made threat display. No injury, no attack
3581;16-May-1966;Sea Disaster;PHILIPPINES;"130 perished; 136 survived  including a man whose foot was severed by a shark"
3582;08-Apr-1966;Unprovoked;USA;Foot lacerated
3583;Apr-1966;Sea Disaster;AUSTRALIA;Survived
3584;20-Mar-1966;Provoked;AUSTRALIA;No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT
3585;14-Mar-1966;Sea Disaster;SUDAN;FATAL
3586;27-Feb-1966;Unprovoked;AUSTRALIA;Left leg & lower right leg bitten, taken ashore with shark still grasping his leg
3587;29-Jan-1966;Provoked;SOUTH AFRICA;Left leg lacerated by hooked shark  PROVOKED INCIDENT
3588;25-Jan-1966;Sea Disaster;INDONESIA;Sharks said to have killed some of the 80 people lost
3589;22-Jan-1966;Unprovoked;USA;Hand, arm & thigh bitten
3590;15-Jan-1966;Unprovoked;AUSTRALIA;Buttocks bitten
3591;14-Jan-1966;Sea Disaster;COLUMBIA;10 survived, 51 perished. 
3592;11-Jan-1966;Unprovoked;SOUTH AFRICA;Right calf lacerated
3593;10-Jan-1966;Unprovoked;AUSTRALIA;Lower leg nipped, arm bruised when he landed in boat
3594;09-Jan-1966;Unprovoked;SOUTH AFRICA;Lower legs bitten
3595;08-Jan-1966;Unprovoked;NEW ZEALAND;FATAL, left leg bitten thigh to calf  
3596;05-Jan-1966;Unprovoked;USA;Thigh gashed
3597;Summer of 1996;Invalid;USA;Minor lacerations & abrasions to lower leg. 
3598;28-Dec-1965;Unprovoked;AUSTRALIA;Thigh & swim fin bitten
3599;19-Dec-1965;Unprovoked;JOHNSTON ISLAND;No injury
3600;10-Dec-1965;Boat;AUSTRALIA;No injury to occupants. Shark  gouged planks of boat
3601;21-Nov-1965;Provoked;AUSTRALIA;FATAL PROVOKED INCIDENT
3602;21-Nov-1965;Unprovoked;PACIFIC OCEAN ;Left forearm bitten, surgically amputated
3603;03-Nov-1965;Invalid;PANAMA;2 life preservers had been bitten by sharks
3604;03-Nov-1965;Unprovoked;AUSTRALIA;Puncture wounds to right thigh
3606;16-Oct-1965;Unprovoked;BAHAMAS;Right arm & right leg bitten
3607;16-Oct-1965;Unprovoked;BAHAMAS;FATAL
3608;10-Oct-1965;Unprovoked;NEW BRITAIN;FATAL
3609;Oct-1965;Unprovoked;PAPUA NEW GUINEA;Toe severed
3610;21-Sep-1965;Provoked;PAPUA NEW GUINEA;Minor injury, speared shark lacerated his kneecap & leg PROVOKED INCIDENT
3611;12-Sep-1965;Provoked;PAPUA NEW GUINEA;Leg & hand bitten by shark that had been speared by another fisherman PROVOKED INCIDENT
3612;08-Sep-1965;Unprovoked;MEXICO;Leg & arm bitten
3613;30-Aug-1965;Invalid;PHILIPPINES;One man was lost, but he may have drowned
3614;26-Aug-1965;Unprovoked;USA;Right thigh lacerated
3615;30-Jul-1964;Provoked;BAHAMAS;Chest bitten PROVOKED INCIDENT
3616;26-Jul-1965;Unprovoked;MEXICO;FATAL, both legs severed 
3617;Reported 02-Jul-1965;Boat;BERMUDA;No injury to occupant, shark bit boat
3618;19-Jun-1965;Invalid;USA;Parallel lacerations on right calf. Thought to be a barracuda bite 
3619;18-Jun-1965;Invalid;USA;No injury, chased by 4.6 m [15'] oceanic whitetip sharks
3620;09-Jun-1965;Unprovoked;MEXICO;Right forearm severed, right leg bitten and surgically amputated
3621;Jun-1965;Unprovoked;PAPUA NEW GUINEA;Minor injury
3622;Jun-1965;Unprovoked;SOUTH PACIFIC OCEAN;FATAL, body not recovered
3623;29-May-1965;Unprovoked;MEXICO;FATAL, left leg & right arm severed 
3624;28-May-1965;Unprovoked;MEXICO;FATAL, left arm & right leg severed 
3625;May-Jun-1965;Unprovoked;EGYPT;Leg bitten
3626;May 1965;Unprovoked;JAMAICA;Minor injury
3627;May 1965;Unprovoked;MEXICO;Right arm severed, right leg bitten, not known if he survived
3628;29-Apr-1965;Unprovoked;USA;Thighs abraded, puncture wounds in dorsal surface of left hand
3629;25-Apr-1965;Invalid;USA;Drowned & his body was not recovered. Sharks seen in area later that day but no shark involvement in surfer's death
3630;10-Apr-1965;Unprovoked;USA;Left hand severely lacerated
3631;04-Apr-1965;Unprovoked;PALAU;Right leg bitten
3632;04-Apr-1965;Unprovoked;USA;Left hand punctured & lacerated
3633;23-Mar-1965;Invalid;USA;All 16 onboard perished, recovery efforts hampered by sharks
3634;14-Mar-1965;Unprovoked;USA;Survived
3635;14-Feb-1965;Unprovoked;SOUTH AFRICA;Abdomen, buttock, thigh, arm & hand bitten
3636;04-Feb-1965;Unprovoked;USA;Punctures on left thigh
3637;25-Jan-1965;Invalid;USA;Puncture marks on chest may have been post mortem, 4 other bodies in area were undamaged
3638;23-Jan-1965;Unprovoked;SOUTH AFRICA;No injury, ski bitten
3639;16-Jan-1965;Unprovoked;SOUTH AFRICA;Right thigh punctured
3640;10-Jan-1965;Unprovoked;AUSTRALIA;Thigh gashed
3641;09-Jan-1965;Unprovoked;NEW GUINEA;FATAL
3642;Summer 1965;Unprovoked;USA;Foot bitten
3643;1965;Provoked;USA;Puncture wounds to foot when he stepped on a shark    PROVOKED INCIDENT
3644;Early 1965;Provoked;USA;No injury, shark tore his wetsuit after he grabbed it by the tail  PROVOKED INCIDENT
3645;May-Jun-1965;Unprovoked;RED SEA;Leg bitten three times
3646;May-Jun-1965;Unprovoked;EGYPT;"Ankle and thigh bitten; shark made three strikes"
3647;1965;Unprovoked;VANUATU;FATAL. Said to have been killed by sorcerers that turned themselves into sharks. The alleged sorcerers were taken into custody by authorities but released  due to lack of evidence. 
3648;Ca. 1965;Invalid;SOUTH AFRICA;No details
3649;25-Dec-1964;Unprovoked;SOUTH AFRICA;Hand, ankle & calf lacerated
3650;10-Dec-1964;Unprovoked;PAPUA NEW GUINEA;Thigh severely lacerated
3651;10-Dec-1964;Boat;AUSTRALIA;No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat
3652;09-Dec-1964;Unprovoked;PAPUA NEW GUINEA;Survived
3653;06-Dec-1964;Unprovoked;KENYA;FATAL
3654;29-Nov-1964;Unprovoked;AUSTRALIA;Left leg severed
3655;18-Nov-1964;Unprovoked;AUSTRALIA;FATAL
3656;13-Nov-1964;Provoked;AUSTRALIA;Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT
3657;05-Nov-1964;Boat;USA;No injury to occupant, shark bit propeller of outboard motor
3658;31-Oct-1964;Provoked;SOUTH AFRICA;Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT
3659;25-Oct-1964;Invalid;USA;No injury to occupants, drove sharks away with paddles
3660;04-Oct-1964;Unprovoked;AUSTRALIA;Abrasions & 11 teethmarks on right lower leg
3662;20-Sep-1964;Unprovoked;TAIWAN;FATAL
3663;07-Sep-1964;Unprovoked;TAIWAN;Right thigh &  elbow bitten
3664;26-Aug-1964;Unprovoked;USA;Bruised & abraded ankle
3665;23-Aug-1964;Unprovoked;MEXICO;Right thigh bitten
3666;22-Aug-1964;Invalid;USA;3 m to 3.7 m [10' to 12']  great hammerhead shark shark only made a threat display. No injury
3667;21-Aug-1964;Unprovoked;USA;No injury,  bumped repeatedly
3668;08-Aug-1964;Unprovoked;USA;No injury, shark hit scuba tank
3669;03-Aug-1964;Unprovoked;JAPAN;Leg bitten, surgically amputated
3670;Aug-1964;Unprovoked;PANAMA;Foot lacerated
3671;27-Jul-1964;Provoked;USA;Arm lacerated by speared shark PROVOKED INCIDENT
3672;16-Jul-1964;Unprovoked;SOUTH AFRICA;No injury, shark charged & impaled itself on spear
3673;15-Jul-1964;Invalid;USA;"No injury, no attack; sharks ate their food tied to a line over the side of the raft"
3674;10-Jul-1964;Invalid;SOUTH AFRICA;FATAL
3675;08-Jul-1964;Provoked;USA;No injury to occupant, hooked shark rammed & bit boat PROVOKED INCIDENT
3676;Jul-1964;Unprovoked;PAPUA NEW GUINEA;FATAL, leg severed 
3677;Jul-1964;Boat;PAPUA NEW GUINEA;No injury to occupant, canoe struck several times by shark 
3678;29-Jun-1964;Sea Disaster;BERMUDA;7 rescued, 7 bodies recovered, 10 missing. Many sharks in crash area.
3679;28-Jun-1964;Invalid;USA;Disappeared, probable drowning but sharks in area led to speculation that she was taken by a shark
3680;24-Jun-1964;Boat;USA;No injury to occupants, shark crashed through windshield of boat
3681;17-Jun-1964;Boat;PAPUA NEW GUINEA;No injury to occupant, shark lifted canoe's outrigger
3682;23-Jun-1964;Unprovoked;FIJI;Buttocks bitten
3683;02-Jun-1964;Invalid;SOUTH AFRICA;Skeletonized, except for head & feet. Possibly a drowning / scavenging
3684;30-May-1964;Unprovoked;PANAMA;No injury
3685;08-May-1964;Unprovoked;FIJI;FATAL, buttocks, lower abdomen & genitalia removed  
3686;May 1964;Unprovoked;PANAMA;FATAL, torso / abdomen severely bitten  
3687;07-Apr-1964;Unprovoked;PAPUA NEW GUINEA;FATAL
3688;28-Mar-1964;Unprovoked;AUSTRALIA;Left thigh lacerated
3689;28-Mar-1964;Sea Disaster;PAPUA NEW GUINEA;Presumed FATAL
3690;05-Mar-1964;Unprovoked;USA;Minor injury, abdomen abraded when he collided with the shark
3691;Mar-1964;Unprovoked;SENEGAL;Thigh & hand bitten
3692;Reported 17-Feb-1964;Provoked;FIJI;Hooked shark bit boat PROVOKED INCIDENT
3693;14-Feb-1964;Unprovoked;NEW CALEDONIA;FATAL, foot & part of other leg severed  
3694;14-Feb-1964;Unprovoked;FIJI;FATAL, thigh and abdomen bitten 
3695;11-Feb-1964;Unprovoked;NEW ZEALAND;Hand lacerated
3696;10-Feb-1964;Unprovoked;NEW ZEALAND;No injury to diver, shark bit speargun
3697;08-Feb-1954;Unprovoked;SOUTH AFRICA;Right ankle lacerated
3698;05-Feb-1964;Unprovoked;NEW ZEALAND;Right leg & shoulder lacerated
3699;05-Feb-1964;Unprovoked;NEW ZEALAND;FATAL, both legs bitten & right leg severed at knee 
3700;02-Feb-1964;Invalid;AUSTRALIA;Body not recovered  / May have drowned prior to shark involvement
3701;01-Feb-1964;Boat;NEW ZEALAND;No injury to occupants , shark nudged oars
3702;Feb-1964;Unprovoked;USA;No injury
3703;Feb-1964;Unprovoked;COSTA RICA;FATAL, right arm & left thigh bitten 
3704;27-Jan-1964;Unprovoked;FIJI;FATAL
3705;23-Jan-1964;Unprovoked;SOUTH AFRICA;Heel & ankle bitten
3706;22-Jan-1964;Unprovoked;SOUTH AFRICA;Heel bitten
3707;21-Jan-1964;Boat;SOUTH AFRICA;No injury to occupants, shark holed  boat
3708;18-Jan-1964;Unprovoked;AUSTRALIA;Arm lacerated
3709;11-Jan-1964;Unprovoked;USA;Leg & thigh bitten
3710;Reported 06-Jan-1964;Unprovoked;PAPUA NEW GUINEA;FATAL
3711;04-Jan-1964;Unprovoked;FIJI;Deep lacerations to her right thigh
3712;01-Jan-1964;Unprovoked;AUSTRALIA;
3713;01-Jan-1964;Unprovoked;SOUTH AFRICA;Lacerations and puncture wounds in right arm 
3714;Jan-1964;Invalid;NEW ZEALAND;No injury
3715;29-Dec-1963;Unprovoked;SOUTH AFRICA;Right hand & foot severed, thigh & buttock lacerated
3716;26-Dec-1963;Unprovoked;SOUTH AFRICA;Lower leg bitten & foot severed, leg surgically amputated below knee
3717;26-Dec-1963;Unprovoked;AUSTRALIA;No injury, shark's tail struck his armpit
3718;25-Dec-1963;Unprovoked;SOUTH AFRICA;FATAL, shoulders, arms, abdomen & foot bitten  
3719;22-Dec-1963;Invalid;ATLANTIC OCEAN;"One woman reported to have suffered fish bites, but cause of her death was exposure & drowning"""
3720;22-Dec-1963;Provoked;SOUTH AFRICA;Foot lacerated  PROVOKED INCIDENT
3721;21-Dec-1963;Provoked;AUSTRALIA;7 puncture wounds in right forearm from hooked shark PROVOKED INCIDENT
3722;20-Dec-1963;Unprovoked;SOUTH AFRICA;Foot lacerated
3723;20-Dec-1963;Unprovoked;SOUTH AFRICA;FATAL, arm severed, leg bitten
3724;08-Dec-1963;Unprovoked;AUSTRALIA;Torso & hand lacerated
3725;04-Dec-1963;Unprovoked;NEW BRITAIN;FATAL, leg severely bitten
3726;30-Nov-1963 ;Unprovoked;NEW ZEALAND;Hand & lower leg severely injured
3727;30-Nov-1963;Provoked;PAPUA NEW GUINEA;Left arm lacerated  PROVOKED INCIDENT
3728;28-Nov-1963;Unprovoked;FIJI;Elbow bitten
3729;25-Nov-1963;Unprovoked;FIJI;Ankle & foot bitten
3730;Reported 16-Nov-1963;Unprovoked;ITALY;No injury
3731;14-Nov-1963;Provoked;AUSTRALIA;No injury to occupant, netted shark rammed & bit boat PROVOKED INCIDENT
3732;12-Nov-1963;Provoked;USA;No injury PROVOKED INCIDENT
3733;Reported 05-Nov-1963;Unprovoked;PAPUA NEW GUINEA;Thigh lacerated 
3734;04-Nov-1963;Unprovoked;PALAU;Left calf lacerated
3735;16-Oct-1963;Unprovoked;USA;Right thigh &  foot bruised, right calf  lacerated
3736;15-Oct-1963;Provoked;NORTH PACIFIC OCEAN;Right hand lacerated, PROVOKED INCIDENT
3737;29-Sep-1963;Unprovoked;CHILE;FATAL
3738;26-Sep-1963;Invalid;USA;"Numerous dusky sharks & a 3 m to 4.6 m [10' to 15']  tiger sharks tried to overturn raft and one took Mrs. Dumas' body; scavenging by shark/s"
3739;22-Sep-1963;Unprovoked;SOLOMON ISLANDS;FATAL, right thigh, calf & foot bitten 
3740;13-Sep-1963;Provoked;AUSTRALIA;"A ""dead"" shark grabbed by the tail bit his right torso PROVOKED INCIDENT"
3741;10-Sep-1963;Provoked;USA;Minor injury to left forearm  PROVOKED INCIDENT
3742;Aug-1963;Unprovoked;DOMINICAN REPUBLIC;"FATAL. Eyewitness said, ""One was thrown in the air like a basketball, and while in the air another shark took a bite out of his belly."" "
3743;28-Jul-1963;Unprovoked;FEDERATED STATES OF MICRONESIA;Upper left arm bitten
3744;15-Jul-1963;Unprovoked;USA;Left forearm bitten, surgically amputated?
3745;11-Jul-1963;Provoked;USA;Cuts on right hand, PROVOKED INCIDENT
3746;Reported 10-Jul-1963;Sea Disaster;JAMAICA;No survivors & a body sighted could not be recovered because of sharks
3747;Jul-1963;Unprovoked;PANAMA;FATAL, foot nearly severed 
3748;01-Jun-1963;Unprovoked;GREECE;FATAL
3749;01-Jun-1963;Provoked;PAPUA NEW GUINEA;Hooked shark bit his nose, arm and leg PROVOKED INCIDENT
3750;18-May-1963;Invalid;USA;3 lacerations below right knee
3751;14-May-1963;Sea Disaster;PHILIPPINES;Of the 42 people on board, 5 died of exposure, others drowned or were taken by sharks, and survivors were rescued after spending 3 days in the water.
3752;22-Apr-1963;Provoked;AUSTRALIA;Foot lacerated by netted shark PROVOKED INCIDENT
3753;20-Apr-1963;Unprovoked;USA;FATAL, hand severed, shoulder, hip, foot, thigh bitten & femoral artery severed  
3754;17-Apr-1963;Unprovoked;SOUTH AFRICA;Buttock bitten
3755;13-Apr-1963;Unprovoked;AUSTRALIA;Arm bitten
3756;12-Apr-1963;Unprovoked;USA;Left foot & leg bitten
3757;08-Apr-1963;Invalid;USA;May have drowned prior to shark involvement, partial remains recovered
3758;30-Mar-1963;Sea Disaster;SOLOMON ISLANDS;FATAL
3759;27-Feb-1963;Unprovoked;PAPUA NEW GUINEA;Right shoulder bitten
3760;24-Feb-1963;Unprovoked;AUSTRALIA;Left leg lacerated
3761;08-Feb-1963;Unprovoked;FIJI;Left arm bitten
3762;06-Feb-1963;Unprovoked;MAURITIUS;Laceration to right forearm
3763;04-Feb-1963;Invalid;USA;Two shark-bitten lifejackets were recovered leading to speculation that sharks took at least 2 of the 39 missing crewmen
3764;30-Jan-1963;Unprovoked;FIJI;Hand & arm severely lacerated
3765;28-Jan-1963;Unprovoked;AUSTRALIA;FATAL, right femoral artery severed, thigh, calf, buttock & left hand bitten  
3766;26-Jan-1963;Invalid;AUSTRALIA;9' shark in area when he disappeared, body not recovered
3767;22-Jan-1963;Boat;SOUTH AFRICA;No injury to occupant, shark leapt inside boat
3768;14-Jan-1963;Provoked;NEW ZEALAND;Minor lacerations to hand and arm after he seized the shark's tail PROVOKED INCIDENT
3769;12-Jan-1963;Provoked;SOUTH AFRICA;Foot bitten by shark hooked & taken on boat  PROVOKED INCIDENT
3770;11-Jan-1963;Unprovoked;SOUTH AFRICA;Lacerations & punctures on left  forearm
3771;06-Jan-1963;Unprovoked;SOUTH AFRICA;Lacerations to right  arm
3772;04-Jan-1963;Provoked;AUSTRALIA;"No injury to occupants; hooked shark slammed into side of boat PROVOKED INCIDENT"
3773;Jan-1963;Boat;MOZAMBIQUE;No injury to occupant. Shark tore chunk from canoe, then bumped 2 other canoes
3774;Early 1963;Unprovoked;FIJI;No details
3775;1963;Unprovoked;SEYCHELLES;Fatal
3776;30-Dec-1962;Provoked;SOUTH AFRICA;Captive shark bit air hose & minor lacerations on diver's cheek PROVOKED INCIDENT
3777;09-Dec-1962;Unprovoked;AUSTRALIA;FATAL, right leg bitten thigh to calf  
3778;Dec-1962;Boat;SOUTH AFRICA;No injury to occupants, shark jumped onboard, knocking 2 anglers onto the deck
3779;29-Nov-1962;Unprovoked;AUSTRALIA;No injury, shark bit spear & dragged diver 90'
3780;25-Nov-1962;Invalid;AUSTRALIA;Skeletonized, except for head & feet. Possible drowning / scavenging
3781;11-Nov-1962;Unprovoked;USA;Arm, hand, buttock, leg and thigh bitten
3782;10-Nov-1962;Boat;AUSTRALIA;No injury to occupants. Shark rammed boat as they were pulling in a flathead
3783;Nov-1962;Sea Disaster;MID ATLANTIC OCEAN;No injury, shark bit his boot
3784;28-Oct-1962;Unprovoked;SOUTH AFRICA;Arm lacerated (minor injury)
3785;25-Oct-1962;Unprovoked;MEXICO;FATAL, both legs bitten  
3786;15-Oct-1962;Unprovoked;ADMIRALTY ISLANDS;Facial lacerations
3787;14-Oct-1962;Boat;AUSTRALIA;"No injury to occupant, shark ""nibbled"" at boat"
3788;06-Oct-1962;Invalid;USA;Drowned due to CO2 poisoning - Post Mortem scavanging by blue shark
3789;Oct-1962;Unprovoked;PANAMA;FATAL, body not recovered
3790;30-Sep-1962;Unprovoked;BRITISH WEST INDIES;Left thigh & hand & speargun bitten
3791;22-Sep-1962;Unprovoked;MEXICO;Left arm severely bitten, surgically amputated
3792;13-Sep-1962;Unprovoked;SOUTH ATLANTIC OCEAN;FATAL, he died within minutes of being hauled back onboard the Stirling Castle
3793;02-Sep-1962 ;Unprovoked;ITALY;FATAL, multiple injuries to both legs  
3794;Reported 31-Aug-1962;Provoked;ISRAEL;Details unknown, possibly a PROVOKED INCIDENT
3795;30-Aug-1962;Boat;TURKEY;No injury 
3796;30-Aug-1962;Provoked;PAPUA NEW GUINEA;Posterior lower left leg lacerated by netted shark PROVOKED INCIDENT
3797;29-Aug-1962;Provoked;USA;Struck shark with abalone bar to scare it away from abalone, but shark bit his shoulder  PROVOKED INCIDENT
3798;26-Aug-1962;Boat;USA;No injury to occupants, sharks tore Max Butcher's life jacket & pants
3799;23-Aug-1962;Boat;SOUTH AFRICA;No injury to occupants, shark hit boat, lifting it from the water, bit & dented propeller
3800;19-Aug-1962;Unprovoked;USA;FATAL, lower right leg bitten
3801;12-Aug-1962;Unprovoked;USA;Left thigh & hand bitten
3802;01-Aug-1962;Unprovoked;PAPUA NEW GUINEA;FATAL, right thigh severely bitten, right ankle lacerated 
3803;Late Aug-1962;Unprovoked;ITALY;No injury
3804;Aug-1962;Unprovoked;SENEGAL;Ankle bitten
3805;28-Jul-1962;Unprovoked;USA;Lacerations on left foot & hand
3806;20-Jul-1962;Provoked;MADAGASCAR;Right calf lacerated by boated shark PROVOKED INCIDENT
3807;19-Jul-1962;Provoked;USA;2 lacerations on left hand by hooked shark, PROVOKED INCIDENT
3808;10-Jul-1962;Unprovoked;USA;Cuts on fingers, hand & wrist
3809;07-Jul-1962;Unprovoked;USA;Laceration on hand
3810;Reported 03-Jul-1962;Invalid;GREECE;No injury
3811;25-Jun-1962;Invalid;USA;FATAL
3812;21-Jun-1962;Boat;SOUTH AFRICA;No injury to occupants, shark charged boat, then 2 more sharks hit boat, oar grabbed, boat finally drifted ashore at 02h00
3813;17-Jun-1962;Unprovoked;USA;"8"" laceration on left calf"
3814;11-Jun-1962;Unprovoked;USA;2 toes bitten off 
3815;11-Jun-1962;Unprovoked;USA;FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.
3816;11-Jun-1962;Unprovoked;USA;FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.
3817;10-Jun-1962;Unprovoked;PAPUA NEW GUINEA;FATAL, chest & leg bitten 
3818;10-Jun-1962;Unprovoked;USA;Thigh bitten
3819;07-Jun-1962;Boat;AUSTRALIA;No injury to occupant, shark grabbed anchor rope, pulling bow of boat downward & then bit bow of boat
3820;04-Jun-1962;Provoked;USA;Right forearm bitten PROVOKED INCIDENT
3821;03-Jun-1962;Unprovoked;USA;Left foot bitten
3822;29-May-1962;Unprovoked;USA;Bitten on leg or ankle
3823;12-May-1962;Sea Disaster;USA;Bodies of 5 of the 6 men on board were bitten by by sharks. Sharks may have contributed to the death of some of them.
3824;May 1962;Boat;FIJI;No injury, sharks rammed boat and bit outboard motor
3825;20-Apr-1962;Provoked;AUSTRALIA;No injury to occupants, hooked shark cracked hull PROVOKED INCIDENT
3826;09-Apr-1962;Unprovoked;MOZAMBIQUE;Leg bitten, surgically amputated at knee
3827;07-Apr-1962;Unprovoked;SOUTH AFRICA;Left ankle & foot bitten
3828;05-Apr-1962;Provoked;SOUTH AFRICA;Hooked shark bit boat PROVOKED INCIDENT
3829;25-Mar-1962;Provoked;NEW ZEALAND;Left foot bitten by hooked shark PROVOKED INCIDENT
3830;25-Mar-1962;Boat;AUSTRALIA;No injury to occupants. Shark holed boat & they swam 200 yards to shore
3831;24-Mar-1962;Unprovoked;PAPUA NEW GUINEA;FATAL, calf bitten, other leg severed below knee
3832;23-Feb-1962;Unprovoked;PAPUA NEW GUINEA;Torso lacerated
3833;18-Feb-1962;Provoked;NEW ZEALAND;Mistook shark's tail for kelp & grabbed it, legs abraded by shark's fins PROVOKED INCIDENT
3834;15-Feb-1962;Unprovoked;AUSTRALIA;Middle finger of right hand lacerated
3835;07-Feb-1962;Unprovoked;SOUTH AFRICA;FATAL, calf bitten twice
3836;05-Feb-1962;Unprovoked;SOUTH AFRICA;FATAL, tissue removed from thigh, femoral artery severed 
3837;04-Feb-1962;Unprovoked;AUSTRALIA;Shin bitten
3838;02-Feb-1962;Boat;NEW ZEALAND;
3839;Feb-1962;Unprovoked;SOLOMON ISLANDS;FATAL, shoulder & thigh bitten 
3840;27-Jan-1962;Unprovoked;NEW ZEALAND;Left hand injured: gash on back of hand, toothmarks on palm
3841;26-Jan-1962;Unprovoked;MOZAMBIQUE;
3842;21-Jan-1962;Provoked;AUSTRALIA;Suffered from shock & immersion after being dragged underwater  by speared shark PROVOKED INCIDENT
3843;18-Jan-1962;Invalid;SOUTH AFRICA;Possible drowning / post mortem scavenging by Zambesi shark
3844;16-Jan-1962;Provoked;NEW ZEALAND;No injury to occupants, hooked shark attacked boat PROVOKED INCIDENT
3845;15-Jan-1962;Unprovoked;NEW ZEALAND;Shark struck him on shoulder injuring skin under suit
3846;14-Jan-1962;Unprovoked;USA;Buttock bitten & major leg wound
3847;14-Jan-1962;Provoked;AUSTRALIA;Speared shark bit gunwale of boat as it was being hauled onboard PROVOKED INCIDENT
3848;14-Jan-1962;Unprovoked;AUSTRALIA;Dorsum of foot lacerated & toe severed
3849;11-Jan-1962;Boat;AUSTRALIA;No injury to occupant, shark bit propeller & lifted boat several feet
3850;11-Jan-1962;Unprovoked;PAPUA NEW GUINEA;Left leg & buttocks bitten
3851;11-Jan-1962;Unprovoked;NEW ZEALAND;Right foot lacerated 
3852;10-Jan-1962;Boat;AUSTRALIA;"No injury to fisherman Alf Dean & other occupants; shark bit stern of boat"
3853;08-Jan-1962;Invalid;AUSTRALIA;Remains recovered from 10' shark, but shark involvement prior to death unconfirmed
3854;07-Jan-1962;Provoked;AUSTRALIA;"No injury to occupants, shark bit 3"" piece from oar after they accidentally struck the shark PROVOKED INCIDENT"
3855;07-Jan-1962;Unprovoked;AUSTRALIA;No injury, shark bumped board flipping him into the water
3856;06-Jan-1962;Boat;SOUTH AFRICA;Shark rammed boat 5 times & holed it
3857;02-Jan-1962;Provoked;AUSTRALIA;No injury to occupants, hooked shark dragged boat 2 miles PROVOKED INCIDENT
3858;01-Jan-1962;Unprovoked;MARSHALL ISLANDS;"2.5"" laceration on right hand"
3859;1962;Unprovoked;SPAIN;Feet severed
3860;Jan-Jun-1962;Unprovoked;INDONESIA;FATAL
3861;Ca. 1962;Unprovoked;AUSTRALIA;Right leg bitten
3862;28-Dec-1961;Unprovoked;AUSTRALIA;FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack
3863;28-Dec-1961;Unprovoked;AUSTRALIA;Hand bitten, surgically amputated
3864;28-Dec-1961;Unprovoked;SOUTH AFRICA;Lower right leg & ankle bitten
3865;27-Dec-1961;Provoked;AUSTRALIA;No injury, Parker shot the shark when it came close to his nephew, Bill Bradbury (14), then the shark bent his speargun PROVOKED INCIDENT
3866;19-Dec-1961;Boat;AUSTRALIA;"No injury to occupant; shark leapt into boat"
3867;18-Dec-1961;Unprovoked;MOZAMBIQUE;His left leg was severely bitten
3868;18-Dec-1961;Unprovoked;AUSTRALIA;FATAL, right wrist and hand bitten, left leg severed above knee 
3869;13-Dec-1961;Unprovoked;AUSTRALIA;Right thigh and leg lacerated
3870;14-Nov-1961;Invalid;MEXICO;Bodies of  hurricane victims bitten by shoals of sharks, post mortem scavenging
3871;17-Oct-1961;Unprovoked;PHILIPPINES;Right leg severed
3872;09-Oct-1961;Invalid;USA;Skeletonized, but shark involvement may have occurred after death.
3873;Oct-1961;Boat;VANUATU;No injury to occupant, canoe  bitten & overturned by shark
3874;Oct-1961;Unprovoked;USA;FATAL. His body washed ashore, presumed shark attack
3875;26-Sep-1961;Provoked;USA;Foot & lower leg abraded and lacerated when he kicked the shark PROVOKED INCIDENT
3876;24-Sep-1961;Unprovoked;CROATIA;FATAL, hand severed & legs bitten  
3877;24-Sep-1961;Provoked;TANZANIA;PROVOKED INCIDENT Right hand severed by hooked shark
3878;23-Sep-1961;Unprovoked;MID ATLANTIC OCEAN;Right shoulder blade  & back lacerated
3879;07-Sep-1961;Unprovoked;PERSIAN GULF;"3"" cut on sole of foot"
3880;Reported 06-Sep-1961;Provoked;ITALY;Left foot & right hand bitten by netted shark PROVOKED INCIDENT
3881;06-Sep-1961;Invalid;AUSTRALIA;Shark involvement prior to death unconfirmed
3882;20-Aug-1961;Unprovoked;USA;Foot, leg  & groin lacerated
3883;16-Aug-1961;Unprovoked;USA;Right arm bitten. Left leg bitten, surgically amputated 
3884;04-Aug-1961;Unprovoked;BERMUDA;Right hand lacerated
3885;02-Aug-1961;Unprovoked;USA;Hand bitten
3886;01-Aug-1961;Provoked;PAPUA NEW GUINEA;Thigh lacerated PROVOKED INCIDENT
